home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
Orlando City SC,New England Revolution,1,2017,Exploria Stadium,"Orlando, Florida","23,018",,MLS
Toronto FC,New York Red Bulls,0,2022,BMO Field,"Toronto, Ontario","23,121",,MLS
Philadelphia Union,Real Salt Lake,0,2016,Subaru Park,"Philadelphia, Pennsylvania","18,091",,MLS
Philadelphia Union,Toronto FC,0,2015,Subaru Park,"Philadelphia, Pennsylvania","17,859",,MLS
Portland Timbers,New York Red Bulls,0,2015,Providence Park,"Portland, Oregon","21,144",,MLS
LAFC,Real Salt Lake,1,2019,Banc of California Stadium,"Los Angeles, California","22,023",,MLS
LAFC,Vancouver Whitecaps,1,2020,Banc of California Stadium,"Los Angeles, California",,,MLS
Seattle Sounders FC,Colorado Rapids,1,2009,Qwest Field,"Seattle, Washington","32,526",,MLS
Seattle Sounders FC,Chicago Fire FC,1,2013,CenturyLink Field,"Seattle, Washington","38,503",,MLS
FC Dallas,Colorado Rapids,1,2014,Toyota Stadium,"Dallas, Texas","16,209",,MLS
Minnesota United FC,Seattle Sounders FC,0,2022,Allianz Field,"Saint Paul, Minnesota",,,MLS
CF Montréal,New England Revolution,0,2017,Stade Saputo,"Montréal, Quebec","20,681",,MLS
Minnesota United FC,FC Dallas,0,2018,TCF Bank Stadium,"Saint Paul, Minnesota","22,345",,MLS
Portland Timbers,FC Dallas,1,2011,Providence Park,"Portland, Oregon",,,MLS
Real Salt Lake,Chivas USA,1,2008,Rice-Eccles Stadium,"Salt Lake City, Utah","14,719",,MLS
San Jose Earthquakes,Portland Timbers,0,2021,PayPal Park,"San Jose, California",,,MLS
New York Red Bulls,CF Montréal,0,2019,Red Bull Arena,"New York, New York","11,115",,MLS
Chicago Fire FC,Real Salt Lake,1,2006,Bridgeview Stadium,"Chicago, Illinois",,,MLS
New England Revolution,Chivas USA,0,2011,Gillette Stadium,"Boston, Massachusetts",,,MLS
New York Red Bulls,Toronto FC,1,2007,Giants Stadium,"New York, New York",,,MLS
Chivas USA,Real Salt Lake,0,2012,Dignity Health Sports Park,"Los Angeles, California","13,816",,MLS
New York Red Bulls,Portland Timbers,1,2012,Red Bull Arena,"New York, New York","19,043",,MLS
DC United,NYCFC,1,2015,RFK Memorial Stadium,"Washington, D.C.","21,517",,MLS
Colorado Rapids,San Jose Earthquakes,0,2012,Dick's Sporting Goods Park,"Denver, Colorado","13,080",,MLS
DC United,FC Dallas,0,2010,RFK Memorial Stadium,"Washington, D.C.",,,MLS
DC United,Atlanta United FC,1,2019,Audi Field,"Washington, D.C.","16,942",,MLS
Real Salt Lake,Vancouver Whitecaps,1,2016,Rio Tinto Stadium,"Salt Lake City, Utah","19,720",,MLS
Real Salt Lake,Chicago Fire FC,0,2011,Rio Tinto Stadium,"Salt Lake City, Utah",,,MLS
Colorado Rapids,Minnesota United FC,1,2021,Dick's Sporting Goods Park,"Denver, Colorado",,,MLS
Seattle Sounders FC,Colorado Rapids,1,2014,CenturyLink Field,"Seattle, Washington","38,582",,MLS
Chivas USA,Vancouver Whitecaps,1,2013,Dignity Health Sports Park,"Los Angeles, California","8,354",,MLS
Portland Timbers,Colorado Rapids,1,2022,Providence Park,"Portland, Oregon","23,448",,MLS
Charlotte FC,Nashville SC,1,2022,Bank of America Stadium,"Charlotte, Norch Carolina",,,MLS
Atlanta United FC,Charlotte FC,1,2022,Mercedes-Benz Stadium,"Atlanta, Georgia","43,055",,MLS
San Jose Earthquakes,Toronto FC,1,2016,Earthquakes Stadium,"San Jose, California","18,000",,MLS
Colorado Rapids,Toronto FC,1,2016,Dick's Sporting Goods Park,"Denver, Colorado","10,772",,MLS
Colorado Rapids,Toronto FC,1,2018,Dick's Sporting Goods Park,"Denver, Colorado","11,232",,MLS
New England Revolution,Chicago Fire FC,0,2014,Gillette Stadium,"Boston, Massachusetts","15,406",,MLS
New England Revolution,CF Montréal,1,2014,Gillette Stadium,"Boston, Massachusetts","19,665",,MLS
New York Red Bulls,FC Dallas,1,2008,Giants Stadium,"New York, New York","16,427",,MLS
New England Revolution,New York Red Bulls,1,2009,Gillette Stadium,"Boston, Massachusetts","11,183",,MLS
Minnesota United FC,Portland Timbers,1,2018,TCF Bank Stadium,"Saint Paul, Minnesota","24,525",,MLS
San Jose Earthquakes,Chicago Fire FC,0,2010,Buck Shaw Stadium,"San Jose, California",,,MLS
Colorado Rapids,Real Salt Lake,1,2012,Dick's Sporting Goods Park,"Denver, Colorado","15,218",,MLS
Toronto FC,Portland Timbers,0,2019,BMO Field,"Toronto, Ontario","24,832",,MLS
Chivas USA,FC Dallas,1,2013,Dignity Health Sports Park,"Los Angeles, California","6,801",,MLS
CF Montréal,Vancouver Whitecaps,1,2019,Stade Saputo,"Montréal, Quebec","14,513",,MLS
Toronto FC,Orlando City SC,1,2015,BMO Field,"Toronto, Ontario","26,397",,MLS
Real Salt Lake,Portland Timbers,0,2015,Rio Tinto Stadium,"Salt Lake City, Utah","20,338",,MLS
FC Dallas,Real Salt Lake,1,2005,Pizza Hut Park,"Dallas, Texas",,,MLS
New England Revolution,Philadelphia Union,0,2020,Gillette Stadium,"Boston, Massachusetts",,,MLS
Real Salt Lake,DC United,1,2010,Rio Tinto Stadium,"Salt Lake City, Utah",,,MLS
Orlando City SC,Atlanta United FC,0,2018,Exploria Stadium,"Orlando, Florida","24,232",,MLS
Philadelphia Union,NYCFC,1,2021,Subaru Park,"Philadelphia, Pennsylvania","15,263",,MLS
Portland Timbers,FC Dallas,1,2013,Providence Park,"Portland, Oregon","20,674",,MLS
Colorado Rapids,San Jose Earthquakes,0,2005,Sports Authority Field at Mile High,"Denver, Colorado",,,MLS
San Jose Earthquakes,New York Red Bulls,1,2009,Buck Shaw Stadium,"San Jose, California","10,525",,MLS
New England Revolution,Chicago Fire FC,1,2013,Gillette Stadium,"Boston, Massachusetts","14,630",,MLS
Portland Timbers,Philadelphia Union,1,2012,Providence Park,"Portland, Oregon","20,438",,MLS
Vancouver Whitecaps,Portland Timbers,0,2012,BC Place,"Vancouver, British Columbia","21,000",,MLS
New England Revolution,Real Salt Lake,1,2005,Gillette Stadium,"Boston, Massachusetts",,,MLS
NYCFC,San Jose Earthquakes,1,2015,Yankee Stadium,"New York, New York","28,231",,MLS
Philadelphia Union,CF Montréal,0,2018,Subaru Park,"Philadelphia, Pennsylvania","18,024",,MLS
Vancouver Whitecaps,CF Montréal,0,2016,BC Place,"Vancouver, British Columbia","22,120",,MLS
Toronto FC,DC United,0,2011,BMO Field,"Toronto, Ontario",,,MLS
Vancouver Whitecaps,Real Salt Lake,1,2022,BC Place,"Vancouver, British Columbia","17,134",,MLS
LAFC,Portland Timbers,1,2019,Banc of California Stadium,"Los Angeles, California","22,003",,MLS
Nashville SC,Inter Miami CF,1,2020,Nissan Stadium,"Nashville, Tennessee","3,240",,MLS
Chicago Fire FC,DC United,1,2006,SeatGeek Stadium,"Chicago, Illinois",,,MLS
Portland Timbers,Toronto FC,1,2016,Providence Park,"Portland, Oregon","21,144",,MLS
Seattle Sounders FC,Orlando City SC,1,2015,CenturyLink Field,"Seattle, Washington","40,453",,MLS
San Jose Earthquakes,New York Red Bulls,1,2016,Earthquakes Stadium,"San Jose, California","18,000",,MLS
San Jose Earthquakes,Philadelphia Union,0,2015,Earthquakes Stadium,"San Jose, California","18,000",,MLS
DC United,Colorado Rapids,1,2018,Audi Field,"Washington, D.C.","18,931",,MLS
San Jose Earthquakes,FC Dallas,1,2014,Buck Shaw Stadium,"San Jose, California","10,525",,MLS
Orlando City SC,Nashville SC,1,2020,Exploria Stadium,"Orlando, Florida",,,MLS
Real Salt Lake,Chivas USA,1,2014,Rio Tinto Stadium,"Salt Lake City, Utah","20,665",,MLS
Toronto FC,CF Montréal,1,2017,BMO Field,"Toronto, Ontario","27,866",,MLS
New York Red Bulls,DC United,1,2014,Red Bull Arena,"New York, New York","18,054",,MLS
CF Montréal,Toronto FC,0,2017,Stade Saputo,"Montréal, Quebec","20,801",,MLS
FC Dallas,Chivas USA,1,2005,Cotton Bowl,"Dallas, Texas",,,MLS
FC Dallas,Chivas USA,0,2006,Pizza Hut Park,"Dallas, Texas",,,MLS
Real Salt Lake,FC Dallas,1,2018,Rio Tinto Stadium,"Salt Lake City, Utah","17,319",,MLS
Toronto FC,CF Montréal,0,2016,BMO Field,"Toronto, Ontario","28,454",,MLS
Portland Timbers,FC Dallas,1,2013,Providence Park,"Portland, Oregon","20,674",,MLS
FC Cincinnati,Toronto FC,1,2022,TQL Stadium,"Cincinnati, Ohio","19,563",,MLS
Colorado Rapids,LAFC,0,2018,Dick's Sporting Goods Park,"Denver, Colorado","15,369",,MLS
Portland Timbers,Real Salt Lake,1,2021,Providence Park,"Portland, Oregon",,,MLS
CF Montréal,Toronto FC,1,2021,Stade Saputo,"Montréal, Quebec",,,MLS
Colorado Rapids,San Jose Earthquakes,1,2004,Sports Authority Field at Mile High,"Denver, Colorado",,,MLS
Colorado Rapids,Seattle Sounders FC,0,2018,Dick's Sporting Goods Park,"Denver, Colorado","16,374",,MLS
Colorado Rapids,Orlando City SC,0,2018,Dick's Sporting Goods Park,"Denver, Colorado","15,702",,MLS
New England Revolution,FC Dallas,1,2004,Gillette Stadium,"Boston, Massachusetts",,,MLS
Chicago Fire FC,DC United,1,2017,SeatGeek Stadium,"Chicago, Illinois","15,643",,MLS
New England Revolution,CF Montréal,1,2020,Gillette Stadium,"Boston, Massachusetts",,,MLS
FC Dallas,Vancouver Whitecaps,1,2012,Toyota Stadium,"Dallas, Texas","17,685",,MLS
Toronto FC,Chicago Fire FC,1,2018,BMO Field,"Toronto, Ontario","29,190",,MLS
Colorado Rapids,Portland Timbers,1,2011,Dick's Sporting Goods Park,"Denver, Colorado",,,MLS
Minnesota United FC,FC Cincinnati,1,2019,Allianz Field,"Saint Paul, Minnesota","19,778",,MLS
New York Red Bulls,Chicago Fire FC,1,2016,Red Bull Arena,"New York, New York","16,624",,MLS
