team_name,stadium_name
New York Giants,MetLife Stadium
Buffalo Bills,Highmark Stadium
Chicago Bears,Soldier Field
Cincinnati Bengals,Paycor Stadium
Cleveland Browns,FirstEnergy Stadium
Green Bay Packers,Lambeau Field
Tennessee Titans,Nissan Stadium
Miami Dolphins,Hard Rock Stadium
Washington Commanders,FedEx Field
Carolina Panthers,Bank of America Stadium
Jacksonville Jaguars,TIAA Bank Field
Denver Broncos,Empower Field at Mile High
Oakland Raiders,Oakland Coliseum
Tampa Bay Buccaneers,Raymond James Stadium
Houston Texans,NRG Stadium
New England Patriots,Gillette Stadium
Atlanta Falcons,Mercedes-Benz Stadium
Dallas Cowboys,AT&T Stadium
Indianapolis Colts,Lucas Oil Stadium
Kansas City Chiefs,Arrowhead Stadium
New Orleans Saints,Caesars Superdome
New York Jets,MetLife Stadium
Baltimore Ravens,M&T Bank Stadium
St. Louis Rams,Edward Jones Dome
Seattle Seahawks,Lumen Field
Minnesota Vikings,U.S. Bank Stadium
San Diego Chargers,Qualcomm Stadium
San Francisco 49ers,Levi's Stadium
Pittsburgh Steelers,Heinz Field
Philadelphia Eagles,Lincoln Financial Field
Arizona Cardinals,State Farm Stadium
Detroit Lions,Ford Field
Los Angeles Rams,SoFi Stadium
Los Angeles Chargers,SoFi Stadium
Las Vegas Raiders,Allegiant Stadium